"Id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
201,"RUSIA ","MOSCU ","Sección Bilingüe ","CES Nº 110 ""MIGUEL HERNÁNDEZ"" ",60005667,"Centro público",0
202,"RUSIA ","MOSCU ","Sección Bilingüe ","CES Nº 1252 ""MIGUEL DE CERVANTES"" ",60001340,"Centro público",0
203,"RUSIA ","MOSCU ","Sección Bilingüe ","GIMNASIO Nº 1558 ""ROSALÍA DE CASTRO"" ",60001339,"Centro público",0
204,"RUSIA ","SAN PETERSBURGO ","Sección Bilingüe ","GIMNASIO Nº 205 ",60005680,"Centro público",0
205,"SAHARA OCCIDENTAL ","EL AAIUN ","Centro Público Español en el Extranjero ","COLEGIO ESPAÑOL LA PAZ ",60000268,"Centro público",0
206,"SUIZA ","BASILEA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE DE BASILEA ",60005709,"Centro público",0
207,"SUIZA ","BERNA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000372,"Centro público",0
208,"SUIZA ","BERNA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000839,"Centro público",0
209,"SUIZA ","BERNA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60000827,"Centro público",0
210,"SUIZA ","BERNA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIONES DE LCE ",60006155,"Centro público",0
211,"SUIZA ","GINEBRA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE DE GINEBRA ",60005722,"Centro público",0
212,"SUIZA ","LAUSANA ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN LAUSANA ",60005746,"Centro público",0
213,"SUIZA ","ST. GALLEN ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN ST. GALLEN ",60005771,"Centro público",0
214,"SUIZA ","ZURICH ","Agrupaciones y Aulas de Lengua y Cultura Españolas ","AGRUPACIÓN DE LCE EN ZURICH ",60005795,"Centro público",0
215,"ARGENTINA  ","ROSARIO  ","Centro de Titularidad Mixta   ","COLEGIO PARQUE DE ESPAÑA ",60000293,"Centro mixto",1
216,"BRASIL","SAO PAULO ","Centro de Titularidad Mixta ","COLEGIO HISPANO BRASILEÑO MIGUEL DE CERVANTES ",60000301,"Centro mixto",1
